Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2012,3,22,Massachusetts,66.20%,65.90%,60.20%,"3,184,196","3,167,767",4809675.00,5263550.00,8.40%,"10,283",0,0,"10,283",
2014,3,22,Massachusetts,44.70%,44.10%,40.20%,"2,186,789","2,158,326",4896296.00,5369534.00,8.60%,"10,014",0,0,"10,014",
1980,23,23,Michigan,62.40%,61.30%,60.00%,"3,978,647","3,909,725",6374955.00,6514790.00,1.90%,"15,124",0,0,"15,124",
1982,23,23,Michigan,49.30%,47.80%,46.80%,"3,135,928","3,040,008",6357552.00,6498711.00,1.90%,"14,913",0,0,"14,913",
1984,23,23,Michigan,60.60%,59.30%,58.00%,"3,884,854","3,801,658",6407156.00,6550877.00,2.00%,"14,604",0,0,"14,604",
1986,23,23,Michigan,37.80%,36.80%,35.90%,"2,468,009","2,396,564",6520661.00,6674856.00,2.00%,"20,742",0,0,"20,742",
1988,23,23,Michigan,56.70%,55.50%,54.20%,"3,745,751","3,669,163",6608812.00,6773776.00,2.00%,"27,612",0,0,"27,612",
1990,23,23,Michigan,39.50%,38.30%,37.30%,"2,641,649","2,564,563",6693069.00,6872954.00,2.10%,"34,267",0,0,"34,267",
1992,23,23,Michigan,64.00%,63.00%,61.10%,"4,341,909","4,274,673",6786593.00,6990822.00,2.40%,"39,113",0,0,"39,113",
1994,23,23,Michigan,46.30%,45.10%,43.60%,"3,177,740","3,089,077",6856388.00,7081498.00,2.60%,"40,631",0,0,"40,631",
1996,23,23,Michigan,56.30%,55.30%,53.40%,"3,912,261","3,848,844",6954059.00,7201527.00,2.80%,"42,349",0,0,"42,349",
1998,23,23,Michigan,44.90%,43.40%,41.70%,"3,143,432","3,036,886",7005306.00,7276123.00,3.10%,"45,879",0,0,"45,879",
2000,23,23,Michigan,60.50%,59.90%,57.30%,"4,279,299","4,232,501",7070702.00,7370524.00,3.30%,"47,718",0,0,"47,718",
2002,23,23,Michigan,45.00%,44.50%,42.30%,"3,219,864","3,177,565",7147888.00,7445335.00,3.40%,"49,524",0,0,"49,524",
2004,23,23,Michigan,67.10%,66.60%,63.90%,"4,875,692","4,839,252",7263024.00,7508568.00,3.40%,"48,591",0,0,"48,591",
2006,23,23,Michigan,52.80%,52.10%,49.90%,"3,852,008","3,801,256",7292624.00,7532918.00,3.60%,"51,577",0,0,"51,577",
2008,23,23,Michigan,69.70%,69.20%,66.40%,"5,039,080","5,001,766",7229512.00,7528460.00,3.30%,"48,738",0,0,"48,738","163,673"
2010,23,23,Michigan,45.10%,44.50%,42.70%,"3,268,217","3,226,088",7245281.00,7555742.00,3.50%,"43,499",0,0,"44,113",
2012,23,23,Michigan,65.40%,64.70%,62.00%,"4,780,701","4,730,961",7312725.00,7625576.00,3.50%,"43,019",0,0,"43,019",
2014,23,23,Michigan,43.20%,42.70%,41.00%,"3,188,956","3,156,531",7383958.00,7700110.00,3.50%,"42,900",0,0,"42,900",
1980,33,24,Minnesota,72.10%,71.20%,70.00%,"2,079,451","2,051,980",2882406.00,2929927.00,1.00%,"2,001","27,000","1,534","17,035",
1982,33,24,Minnesota,62.30%,61.30%,60.30%,"1,834,737","1,804,675",2943169.00,2993256.00,1.10%,"2,081","24,320","1,479","15,720",
1984,33,24,Minnesota,70.90%,69.90%,68.60%,"2,115,317","2,084,449",2982015.00,3039490.00,1.30%,"2,167","31,440","1,418","19,305",
1986,33,24,Minnesota,48.20%,46.80%,45.80%,"1,456,579","1,415,989",3024070.00,3089544.00,1.40%,"2,462","38,901","1,437","23,350",
1988,33,24,Minnesota,68.80%,67.90%,66.20%,"2,125,119","2,096,790",3087194.00,3166668.00,1.50%,"2,799","56,901","1,639","32,889",
1990,33,24,Minnesota,58.80%,57.60%,56.00%,"1,843,104","1,806,777",3136830.00,3225335.00,1.70%,"3,176","59,323","1,873","34,711",
1992,33,24,Minnesota,73.90%,73.70%,71.20%,"2,355,796","2,347,948",3187255.00,3298080.00,2.10%,"3,822","72,938","1,901","42,192",
1994,33,24,Minnesota,55.20%,54.50%,52.40%,"1,794,618","1,772,929",3253779.00,3385687.00,2.50%,"4,575","81,972","1,904","47,465",
1996,33,24,Minnesota,66.60%,66.10%,63.10%,"2,211,161","2,192,640",3319509.00,3473117.00,2.90%,"5,158","90,202","2,377","52,636",
1998,33,24,Minnesota,62.30%,61.90%,58.80%,"2,105,343","2,091,766",3378089.00,3555108.00,3.30%,"5,572","100,818","2,995","58,976",
2000,33,24,Minnesota,70.10%,69.50%,66.40%,"2,458,303","2,438,657",3506432.00,3662005.00,3.70%,"6,238","115,906","3,072","67,263",
2002,33,24,Minnesota,,64.10%,59.70%,,"2,254,639",3518184.00,3745577.00,3.80%,"7,612","122,692","3,577","72,535",
2004,33,24,Minnesota,78.80%,78.40%,73.90%,"2,842,912","2,828,387",3609185.00,3819020.00,3.90%,"8,613","114,226","3,872","69,598",
2006,33,24,Minnesota,60.50%,60.10%,56.40%,"2,217,552","2,202,987",3667707.00,3896561.00,4.20%,"9,108","127,289","4,007","76,760",
2008,33,24,Minnesota,78.10%,77.80%,73.20%,"2,921,147","2,910,369",3740142.00,3975974.00,4.00%,"9,910","127,627","5,081","76,264","70,063"
2010,33,24,Minnesota,55.80%,55.40%,52.10%,"2,123,369","2,107,021",3802677.00,4041199.00,4.50%,"9,281","42,661","5,807","55,361",
2012,33,24,Minnesota,76.40%,76.00%,71.40%,"2,950,780","2,936,561",3861598.00,4114820.00,4.40%,"9,383","108,157","6,006","72,712",
2014,33,24,Minnesota,50.60%,50.40%,47.20%,"1,992,613","1,981,511",3935121.00,4194166.00,4.50%,"10,003","97,661","6,642","71,335",
1980,46,25,Mississippi,,52.40%,51.90%,,"892,620",1704163.00,1719825.00,0.40%,"3,902","4,864","2,292","8,626",
1982,46,25,Mississippi,,37.00%,36.60%,,"645,026",1743267.00,1762406.00,0.40%,"5,484","6,304","2,914","11,550",
1984,46,25,Mississippi,,53.30%,52.70%,,"941,104",1766654.00,1787243.00,0.50%,"6,115","6,570","3,108","12,508",
1986,46,25,Mississippi,,29.40%,29.00%,,"523,563",1782721.00,1804699.00,0.50%,"6,747","6,458","3,454","13,430",
1988,46,25,Mississippi,,52.00%,51.30%,,"931,527",1792847.00,1815826.00,0.50%,"7,384","6,854","3,177","13,988",
1990,46,25,Mississippi,,20.20%,19.90%,,"368,502",1824156.00,1850099.00,0.50%,"8,375","8,221","3,478","15,964",
1992,46,25,Mississippi,54.30%,52.90%,52.20%,"1,008,019","981,793",1854797.00,1882100.00,0.60%,"8,905","8,031","2,357","15,278",
1994,46,25,Mississippi,32.60%,31.90%,31.40%,"621,096","608,085",1903794.00,1935054.00,0.70%,"10,930","9,042","1,519","16,970",
1996,46,25,Mississippi,,45.90%,45.00%,,"893,857",1949309.00,1986327.00,0.80%,"13,859","10,376","1,326","20,373",
1998,46,25,Mississippi,,27.60%,27.00%,,"550,694",1995283.00,2038324.00,0.90%,"16,678","11,530","1,489","23,932",
2000,46,25,Mississippi,,49.10%,47.80%,,"994,184",2024650.00,2076861.00,1.00%,"20,241","15,118","1,596","29,396",
2002,46,25,Mississippi,,30.10%,29.20%,,"615,609",2047426.00,2099698.00,1.10%,"20,542","16,633","1,816","30,675",
2004,46,25,Mississippi,,55.70%,54.20%,,"1,152,365",2068766.00,2133681.00,1.20%,"20,429","21,324","1,979","33,070",
2006,46,25,Mississippi,,29.40%,28.50%,,"610,921",2077420.00,2154112.00,1.30%,"21,068","24,107","1,970","35,092",
2008,46,25,Mississippi,,61.00%,58.90%,,"1,289,856",2113347.00,2190402.00,1.90%,"22,754","22,267","2,922","35,349","45,082"
2010,46,25,Mississippi,,37.00%,35.50%,,"788,549",2129334.00,2220094.00,1.80%,"21,067","26,793","6,434","51,077",
2012,46,25,Mississippi,,59.30%,57.20%,,"1,285,584",2166825.00,2246931.00,1.50%,"22,305","30,768","6,804","45,416",
2014,46,25,Mississippi,,29.00%,27.90%,,"631,858",2181131.00,2267463.00,1.70%,"18,756","34,398","9,883","47,902",
1980,34,26,Missouri,,59.50%,58.80%,,"2,099,824",3529489.00,3571609.00,0.70%,"5,726","17,400","2,395","16,821",
1982,34,26,Missouri,,43.30%,42.70%,,"1,543,521",3567803.00,3615526.00,0.70%,"7,445","21,637","2,556","20,820",
1984,34,26,Missouri,,58.70%,57.80%,,"2,122,783",3617948.00,3671506.00,0.80%,"8,770","23,574","4,366","24,923",
1986,34,26,Missouri,,40.40%,39.70%,,"1,477,327",3655213.00,3717988.00,0.80%,"10,309","33,819","5,229","32,448",
1988,34,26,Missouri,,56.60%,55.50%,,"2,093,713",3696905.00,3769751.00,0.90%,"12,176","42,728","7,207","40,747",
1990,34,26,Missouri,,36.20%,35.40%,,"1,352,552",3740308.00,3821136.00,0.90%,"14,943","42,322","9,196","45,300",
1992,34,26,Missouri,,63.10%,61.60%,,"2,391,565",3792675.00,3880005.00,1.10%,"16,195","32,692","11,671","44,212",
1994,34,26,Missouri,,46.00%,44.80%,,"1,775,116",3858946.00,3958762.00,1.30%,"17,898","36,295","12,592","48,638",
1996,34,26,Missouri,,55.10%,53.50%,,"2,158,065",3919885.00,4035666.00,1.50%,"22,003","42,386","13,087","56,283",
1998,34,26,Missouri,,39.60%,38.40%,,"1,576,857",3978146.00,4106478.00,1.70%,"24,974","49,992","10,366","60,336",
2000,34,26,Missouri,,58.20%,56.20%,,"2,359,892",4052255.00,4190073.00,1.80%,"27,382","53,299","12,563","66,595",
2002,34,26,Missouri,,45.60%,43.90%,,"1,877,620",4116889.00,4262146.00,1.90%,"30,649","54,584","13,533","71,474",
2004,34,26,Missouri,66.10%,65.30%,62.90%,"2,764,635","2,731,364",4180960.00,4339414.00,1.90%,"30,775","53,832","17,400","75,091",
2006,34,26,Missouri,51.20%,50.00%,48.10%,"2,178,278","2,128,459",4253541.00,4427266.00,2.20%,"30,167","54,963","18,374","76,023",
2008,34,26,Missouri,68.20%,67.60%,64.90%,"2,950,504","2,925,205",4327572.00,4507688.00,2.50%,"30,186","57,360","20,683","69,208","96,710"
2010,34,26,Missouri,45.70%,44.50%,42.40%,"1,997,271","1,943,899",4366435.00,4581260.00,2.60%,"30,178","54,916","19,421","95,250",
2012,34,26,Missouri,,62.20%,59.60%,,"2,757,323",4432957.00,4628500.00,2.50%,"30,714","55,470","20,672","80,785",
2014,34,26,Missouri,33.60%,31.70%,30.50%,"1,509,025","1,426,303",4493722.00,4682458.00,2.40%,"31,432","47,303","18,495","76,417",
1980,64,27,Montana,67.10%,65.60%,65.10%,"371,976","363,952",554636.00,559165.00,0.70%,739,0,0,739,
1982,64,27,Montana,57.60%,56.40%,55.90%,"328,082","321,062",569629.00,574592.00,0.70%,914,0,0,914,
1984,64,27,Montana,68.20%,66.40%,65.80%,"395,006","384,377",578925.00,584162.00,0.70%,964,0,0,964,
1986,64,27,Montana,57.10%,55.60%,55.00%,"326,436","317,862",572113.00,577604.00,0.80%,"1,111",0,0,"1,111",
1988,64,27,Montana,66.70%,64.40%,63.70%,"378,981","365,674",568014.00,573791.00,0.80%,"1,272",0,0,"1,272",
1990,64,27,Montana,57.00%,55.70%,55.10%,"326,652","319,336",573045.00,579158.00,0.80%,"1,425",0,0,"1,425",
1992,64,27,Montana,70.40%,69.20%,68.50%,"417,564","410,611",593345.00,599859.00,0.80%,"1,548",0,0,"1,548",
1994,64,27,Montana,57.80%,56.30%,55.70%,"359,455","350,387",622246.00,629335.00,0.80%,"1,764",0,0,"1,764",
1996,64,27,Montana,64.70%,63.10%,62.30%,"417,232","407,083",645052.00,652991.00,0.90%,"2,293",0,0,"2,293",
1998,64,27,Montana,51.80%,50.70%,50.00%,"338,733","331,551",653998.00,662582.00,0.90%,"2,734",0,0,"2,734",
2000,64,27,Montana,62.60%,61.60%,60.60%,"417,916","410,986",667525.00,676065.00,0.90%,"3,105",0,0,"3,105",
2002,64,27,Montana,49.70%,48.40%,47.70%,"340,272","331,321",684572.00,690652.00,1.00%,"3,440",0,0,"3,440",
2004,64,27,Montana,65.20%,64.40%,63.40%,"456,096","450,445",699114.00,711858.00,1.00%,"3,800",0,0,"3,800",
2006,64,27,Montana,57.10%,56.40%,55.60%,"411,061","406,505",720447.00,734669.00,1.00%,"3,572",0,0,"3,572",
2008,64,27,Montana,67.10%,66.30%,65.10%,"497,599","491,960",741853.00,755384.00,1.30%,"3,545",0,0,"3,545","22,898"
2010,64,27,Montana,48.40%,47.50%,46.80%,"367,096","360,341",758653.00,770601.00,1.10%,"3,706",0,0,"3,716",
2012,64,27,Montana,63.50%,62.50%,61.60%,"491,966","484,048",774476.00,785454.00,0.90%,"3,592",0,0,"3,592",
2014,64,27,Montana,47.50%,46.90%,46.10%,"373,831","369,826",787748.00,802644.00,1.40%,"3,681",0,0,"3,681",
1980,35,28,Nebraska,58.40%,57.50%,56.70%,"651,281","640,854",1115142.00,1129653.00,0.80%,"1,446","7,980",292,"5,728",
1982,35,28,Nebraska,49.60%,48.50%,47.80%,"559,422","547,902",1128918.00,1145316.00,0.80%,"1,739","9,964",309,"7,030",
1984,35,28,Nebraska,59.10%,57.50%,56.60%,"670,781","652,090",1135012.00,1152310.00,0.90%,"1,665","10,763",361,"7,408",
1986,35,28,Nebraska,51.50%,50.30%,49.50%,"577,916","564,422",1123099.00,1141336.00,0.90%,"2,044","11,265",304,"7,981",
1988,35,28,Nebraska,60.30%,58.80%,57.80%,"678,669","661,465",1125252.00,1144305.00,0.90%,"2,156","11,411",447,"8,309",
1990,35,28,Nebraska,53.40%,52.50%,51.40%,"604,195","593,828",1131746.00,1154859.00,1.10%,"2,403","14,654",632,"10,362",
1992,35,28,Nebraska,64.80%,64.20%,62.60%,"744,548","737,546",1149525.00,1178965.00,1.60%,"2,514","15,386",697,"10,904",
1994,35,28,Nebraska,51.00%,49.80%,48.20%,"593,654","579,561",1164502.00,1201826.00,2.00%,"2,711","18,639",771,"12,802",
1996,35,28,Nebraska,57.80%,57.00%,55.10%,"686,749","677,415",1188034.00,1230047.00,2.50%,"3,287","14,363",688,"11,157",
1998,35,28,Nebraska,48.60%,45.50%,43.70%,"581,775","545,238",1197953.00,1247656.00,3.00%,"3,676","16,527",624,"12,564",
2000,35,28,Nebraska,57.80%,56.90%,55.00%,"707,223","696,983",1224178.00,1266496.00,3.40%,"3,895","21,483",476,"15,113",
2002,35,28,Nebraska,,39.90%,37.30%,,"480,991",1204512.00,1285024.00,3.80%,"4,103","16,468",574,"12,911",
2004,35,28,Nebraska,64.10%,62.90%,59.80%,"792,906","778,186",1236522.00,1305430.00,4.00%,"4,042","17,994",805,"13,844",
2006,35,28,Nebraska,48.80%,47.60%,45.10%,"610,499","596,087",1251027.00,1325932.00,4.30%,"4,407","18,731",662,"14,435",
2008,35,28,Nebraska,63.70%,62.90%,59.40%,"811,923","801,281",1274719.00,1348048.00,4.30%,"4,520","19,606",846,"14,746","27,311"
2010,35,28,Nebraska,38.70%,37.50%,35.50%,"503,514","487,988",1301483.00,1375023.00,4.70%,"4,324","4,080",941,"9,138",
2012,35,28,Nebraska,61.10%,60.30%,56.90%,"804,245","794,379",1316915.00,1396507.00,4.70%,"4,466","14,260","1,383","13,407",
2014,35,28,Nebraska,41.40%,40.50%,38.00%,"552,115","539,891",1334453.00,1419489.00,5.00%,"5,221","12,940","1,067","13,534",
1980,65,29,Nevada,51.90%,43.30%,41.10%,"297,318","247,885",573118.00,602463.00,4.00%,"1,839","4,989","1,052","5,386",
1982,65,29,Nevada,39.10%,38.70%,36.70%,"242,578","240,394",621060.00,655823.00,4.40%,"2,753","4,733","1,065","6,185",
1984,65,29,Nevada,44.80%,43.60%,41.10%,"294,413","286,667",656862.00,697185.00,4.70%,"3,488","5,226","1,187","7,288",
1986,65,29,Nevada,37.80%,37.40%,35.10%,"264,365","261,932",700192.00,747283.00,5.10%,"4,551","5,518","1,529","8,839",
1988,65,29,Nevada,46.10%,45.60%,42.50%,"354,261","350,067",768131.00,823940.00,5.50%,"4,881","7,032","2,100","10,497",
1990,65,29,Nevada,38.00%,37.40%,34.60%,"325,959","320,743",858018.00,926572.00,6.10%,"5,322","7,700","2,850","12,022",
1992,65,29,Nevada,54.60%,53.90%,49.30%,"513,387","506,318",940066.00,1028056.00,7.20%,"6,049","8,533","3,246","13,562",
1994,65,29,Nevada,37.40%,36.90%,33.30%,"386,582","380,530",1032456.00,1143487.00,8.40%,"6,993","9,410","3,529","15,227",
1996,65,29,Nevada,41.20%,40.90%,36.50%,"467,657","464,279",1134065.00,1271617.00,9.50%,"8,439","9,760","3,216","16,535",
1998,65,29,Nevada,35.70%,35.30%,31.10%,"440,042","435,790",1233386.00,1402851.00,10.70%,"9,651","12,561","4,055","19,987",
2000,65,29,Nevada,45.60%,45.20%,40.20%,"613,360","608,970",1346116.00,1523209.00,11.80%,"10,063","12,189","4,056","20,214",
2002,65,29,Nevada,36.80%,36.20%,31.10%,"512,433","504,079",1391100.00,1640679.00,12.70%,"10,527","12,290","3,971","20,643",
2004,65,29,Nevada,55.40%,55.30%,47.30%,"831,563","829,587",1501437.00,1776962.00,13.20%,"10,971","12,521","3,610","20,842",
2006,65,29,Nevada,37.10%,36.90%,31.10%,"586,274","582,572",1579222.00,1907976.00,14.40%,"12,901","13,208","3,518","23,023",
2008,65,29,Nevada,57.20%,57.00%,48.40%,"970,019","967,848",1696831.00,2000277.00,14.10%,"12,743","13,337","3,908","21,366","45,656"
2010,65,29,Nevada,41.40%,41.30%,35.30%,"723,515","721,404",1747288.00,2046400.00,13.50%,"12,653","8,067","4,964","23,202",
2012,65,29,Nevada,56.50%,56.40%,48.20%,"1,016,664","1,014,918",1800969.00,2105976.00,13.30%,"12,883","11,321","5,379","24,262",
2014,65,29,Nevada,29.60%,29.30%,25.20%,"552,546","547,349",1867644.00,2173640.00,12.90%,"12,537","12,027","5,927","25,199",
1980,4,30,New Hampshire,60.90%,58.10%,57.20%,"402,415","383,990",660560.00,671558.00,1.60%,326,0,0,326,
1982,4,30,New Hampshire,42.10%,41.20%,40.50%,"289,057","282,588",686264.00,698424.00,1.70%,445,0,0,445,
1984,4,30,New Hampshire,56.60%,54.10%,53.10%,"406,608","388,904",718967.00,732480.00,1.80%,581,0,0,581,
1986,4,30,New Hampshire,33.80%,33.00%,32.40%,"257,410","250,966",760526.00,775686.00,1.90%,782,0,0,782,
1988,4,30,New Hampshire,57.80%,56.40%,55.20%,"462,503","451,074",800468.00,817358.00,1.90%,"1,019",0,0,"1,019",
1990,4,30,New Hampshire,37.80%,36.20%,35.40%,"307,700","294,819",814549.00,832887.00,2.00%,"1,342",0,0,"1,342",
1992,4,30,New Hampshire,67.00%,66.10%,64.50%,"545,197","537,943",814160.00,833997.00,2.20%,"1,777",0,0,"1,777",
1994,4,30,New Hampshire,38.50%,37.60%,36.60%,"319,443","311,882",829590.00,851104.00,2.30%,"2,021",0,0,"2,021",
1996,4,30,New Hampshire,60.10%,58.30%,56.80%,"513,700","499,053",855287.00,878569.00,2.40%,"2,062",0,0,"2,062",
1998,4,30,New Hampshire,37.60%,36.30%,35.30%,"330,555","318,940",878508.00,903630.00,2.50%,"2,169",0,0,"2,169",
2000,4,30,New Hampshire,65.00%,63.90%,60.70%,"578,656","569,081",890622.00,934176.00,2.70%,"2,257",0,0,"2,257",
2002,4,30,New Hampshire,48.70%,48.10%,46.00%,"453,078","447,135",930362.00,960401.00,3.00%,"2,483",0,0,"2,483",
2004,4,30,New Hampshire,71.50%,70.90%,68.40%,"683,672","677,738",956422.00,984422.00,3.20%,"2,441",0,0,"2,441",
2006,4,30,New Hampshire,42.90%,41.40%,39.90%,"418,550","403,531",975281.00,1006234.00,3.40%,"2,805",0,0,"2,805",
2008,4,30,New Hampshire,72.50%,71.70%,69.60%,"719,643","710,970",992226.00,1021787.00,2.60%,"2,702",0,0,"2,702","25,558"
2010,4,30,New Hampshire,46.10%,45.70%,44.20%,"461,423","456,588",999918.00,1033023.00,2.90%,"2,694",0,0,"2,761",
2012,4,30,New Hampshire,70.90%,70.20%,67.80%,"718,700","710,972",1013420.00,1047978.00,3.00%,"2,672",0,0,"2,672",
2014,4,30,New Hampshire,48.30%,47.60%,46.00%,"495,565","488,159",1025862.00,1061054.00,3.00%,"2,867",0,0,"2,867",
1980,12,31,New Jersey,58.50%,58.10%,54.90%,"2,999,879","2,975,684",5123773.00,5420255.00,4.90%,"5,884","29,239","8,911","29,415",
1982,12,31,New Jersey,43.80%,42.00%,39.40%,"2,286,925","2,193,945",5224732.00,5563627.00,5.40%,"8,191","38,186","10,514","37,798",
1984,12,31,New Jersey,60.50%,60.50%,56.50%,"3,215,941","3,217,862",5318696.00,5699440.00,5.90%,"10,363","44,208","12,206","44,673",
1986,12,31,New Jersey,30.40%,28.80%,26.70%,"1,639,330","1,553,544",5396487.00,5819614.00,6.40%,"12,020","51,359","14,064","51,764",
1988,12,31,New Jersey,57.10%,57.00%,52.50%,"3,102,502","3,099,553",5435008.00,5904776.00,6.90%,"16,936","57,903","18,463","64,351",
1990,12,31,New Jersey,36.80%,35.70%,32.60%,"1,998,894","1,938,454",5429251.00,5951541.00,7.40%,"21,128","72,341","23,298","80,597",
1992,12,31,New Jersey,62.00%,61.90%,55.70%,"3,348,312","3,343,594",5398559.00,6000364.00,8.10%,"22,653","108,093","36,120","112,820",
1994,12,31,New Jersey,39.50%,38.10%,33.90%,"2,131,328","2,054,887",5392423.00,6059401.00,8.90%,"24,632","125,299","41,802","129,084",
1996,12,31,New Jersey,56.90%,56.40%,50.00%,"3,105,110","3,075,860",5456334.00,6152216.00,9.60%,"27,490","125,881","14,545","104,976",
1998,12,31,New Jersey,34.40%,32.90%,29.00%,"1,894,496","1,813,094",5505229.00,6261197.00,10.30%,"31,121","129,377","13,218","109,028",
2000,12,31,New Jersey,58.80%,56.90%,50.10%,"3,293,378","3,187,226",5601788.00,6356954.00,11.00%,"29,784","130,610","11,709","106,798",
2002,12,31,New Jersey,38.90%,38.10%,32.60%,"2,161,105","2,112,604",5549726.00,6448445.00,11.50%,"28,213","134,290","12,576","107,934",
2004,12,31,New Jersey,64.20%,63.80%,55.20%,"3,638,153","3,611,691",5663201.00,6513394.00,11.70%,"28,107","143,315","14,180","113,945",
2006,12,31,New Jersey,40.60%,39.50%,34.10%,"2,315,643","2,250,070",5701033.00,6565183.00,12.00%,"27,371","132,636","13,874","107,563",
2008,12,31,New Jersey,67.70%,67.00%,58.20%,"3,910,220","3,868,237",5776527.00,6651284.00,11.70%,"25,953","128,737","15,849","98,246","110,559"
2010,12,31,New Jersey,37.70%,36.40%,31.40%,"2,200,974","2,121,584",5834037.00,6750869.00,12.20%,"25,007","57,517","15,563","90,306",
2012,12,31,New Jersey,62.20%,61.50%,53.20%,"3,683,638","3,640,292",5918182.00,6847503.00,12.10%,"21,759","114,886","14,987","97,636",
2014,12,31,New Jersey,32.50%,31.10%,27.00%,"1,955,042","1,869,535",6014127.00,6936661.00,11.90%,"20,255","115,898","14,889","100,047",
1980,66,32,New Mexico,53.20%,52.30%,50.90%,"464,848","456,971",873515.00,897946.00,2.30%,"1,279","2,794",884,"3,560",
1982,66,32,New Mexico,45.50%,44.30%,42.90%,"417,945","407,466",919311.00,949133.00,2.60%,"1,718","3,854","1,206","4,851",
1984,66,32,New Mexico,54.60%,53.80%,51.90%,"522,328","514,370",956246.00,990632.00,2.90%,"2,129","3,926","1,194","5,286",
1986,66,32,New Mexico,41.40%,40.00%,38.50%,"408,621","394,833",987220.00,1026160.00,3.20%,"2,416","4,175","1,147","5,651",
1988,66,32,New Mexico,53.40%,52.00%,49.80%,"535,694","521,287",1002876.00,1046754.00,3.60%,"2,825","5,312","1,230","6,711",
1990,66,32,New Mexico,41.80%,40.00%,38.20%,"429,509","411,236",1026902.00,1076522.00,3.90%,"3,187","6,294","1,224","7,558",
1992,66,32,New Mexico,55.00%,53.10%,50.40%,"590,901","569,986",1073421.00,1131081.00,4.40%,"3,271","6,921","1,331","8,063",
1994,66,32,New Mexico,43.10%,41.40%,39.10%,"485,709","467,621",1128243.00,1195183.00,4.90%,"3,712","8,063","1,078","8,822",
1996,66,32,New Mexico,49.50%,47.40%,44.50%,"579,763","556,074",1172262.00,1249597.00,5.30%,"4,724","8,903","1,426","10,602",
1998,66,32,New Mexico,43.10%,41.60%,38.80%,"517,355","498,703",1199320.00,1286104.00,5.80%,"4,985","10,397","1,773","11,957",
2000,66,32,New Mexico,49.90%,48.50%,45.40%,"615,607","598,605",1234088.00,1318129.00,6.40%,"5,342","10,461","1,670","12,243",
2002,66,32,New Mexico,40.00%,38.60%,35.70%,"502,230","484,229",1255086.00,1360130.00,7.00%,"6,173","16,287","1,962","16,279",
2004,66,32,New Mexico,60.40%,59.00%,53.90%,"775,301","756,304",1282767.00,1411419.00,7.40%,"6,341","17,725","2,676","17,880",
2006,66,32,New Mexico,43.10%,42.50%,38.60%,"568,597","561,084",1320285.00,1464560.00,8.00%,"6,639","16,493","2,831","17,717",
2008,66,32,New Mexico,61.20%,60.90%,55.10%,"833,365","830,158",1362629.00,1505830.00,8.30%,"6,402","20,883","3,724","18,706","31,444"
2010,66,32,New Mexico,44.70%,42.80%,38.80%,"630,013","602,827",1408872.00,1552212.00,7.70%,"6,541","14,855","3,146","23,087",
2012,66,32,New Mexico,54.80%,54.60%,49.80%,"786,522","783,757",1436363.00,1573400.00,7.30%,"6,553","21,381","5,078","22,963",
2014,66,32,New Mexico,,35.40%,32.30%,,"512,805",1449503.00,1586442.00,7.50%,"6,879","16,060","2,255","18,128",
1980,13,33,New York,53.00%,51.70%,48.00%,"6,359,218","6,201,959",12006100.00,12932357.00,6.80%,"21,815",0,"19,652","41,467",
1982,13,33,New York,44.90%,43.40%,40.00%,"5,437,367","5,254,891",12118685.00,13150573.00,7.50%,"27,945",0,"21,062","49,007",
1984,13,33,New York,57.20%,55.60%,50.90%,"7,000,828","6,806,810",12232120.00,13373558.00,8.10%,"33,109",0,"24,212","57,321",
1986,13,33,New York,36.50%,35.00%,31.80%,"4,481,718","4,293,971",12263480.00,13512043.00,8.70%,"38,449",0,"29,325","67,774",
1988,13,33,New York,54.00%,52.70%,47.50%,"6,636,310","6,485,683",12300666.00,13659215.00,9.40%,"44,560",0,"33,962","78,522",
1990,13,33,New York,35.00%,33.10%,29.50%,"4,290,261","4,056,896",12271903.00,13742688.00,10.00%,"54,895",0,"42,837","97,732",
1992,13,33,New York,57.80%,56.60%,50.20%,"7,068,630","6,926,925",12227775.00,13799670.00,10.60%,"61,736",0,"50,004","111,740",
1994,13,33,New York,43.70%,42.70%,37.50%,"5,325,323","5,203,762",12192316.00,13861352.00,11.20%,"66,750",0,"53,832","120,582",
1996,13,33,New York,52.90%,51.90%,45.30%,"6,439,129","6,316,129",12175850.00,13942462.00,11.80%,"69,709",0,"57,137","126,846",
1998,13,33,New York,40.70%,38.60%,33.50%,"4,989,877","4,735,236",12263356.00,14139223.00,12.40%,"70,001",0,"59,548","129,549",
2000,13,33,New York,56.20%,55.10%,47.50%,"6,960,215","6,821,999",12380208.00,14344348.00,12.70%,"70,198",0,"57,858","128,056",
2002,13,33,New York,37.00%,36.10%,31.40%,"4,690,968","4,579,078",12679865.00,14504792.00,12.60%,"65,914",0,"55,990","121,904",
2004,13,33,New York,58.50%,58.00%,50.20%,"7,448,266","7,391,249",12738056.00,14598898.00,12.60%,"64,596",0,"54,524","119,120",
2006,13,33,New York,36.50%,34.90%,30.30%,"4,703,830","4,490,053",12878632.00,14665626.00,12.40%,"63,315",0,"53,533","116,848",
