Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,,,,,,,,,,,30.9800796508789,,,,,31.9047393798828,,31.5000591278076,30.9306697845459,30.9030799865723,27.2721099853516,26.3846397399902,25.9711399078369,25.9606399536133,25.6536293029785,24.0538196563721,,22.2210006713867,21.3431396484375,21.3701496124268,20.3769607543945,20.1414604187012,20.1276607513428,20.0152492523193,19.6995391845703,19.936939239502,19.4158401489258,,21.8037395477295,20.3626194000244,19.5577602386475,19.6651802062988,18.9197101593018,17.5140209197998,17.48583984375,16.8952693939209,15.6551103591919,14.9844102859497,14.4423704147339,13.1352100372314,12.601149559021,12.3244695663452,12.0036096572876,11.831259727478,11.4125995635986,11.5209999084473,11.6116504669189,,
"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,,,,,,,,,,,46.8292694091797,,,,,47.9958801269531,,,,,48.5531196594238,48.6400909423828,48.6150093078613,48.5418281555176,48.6329193115234,48.5721397399902,,48.62548828125,48.6056785583496,48.590259552002,48.6315994262695,48.6114616394043,48.685619354248,48.6885414123535,48.7560806274414,48.6887702941895,48.6866798400879,,48.5759696960449,48.3180198669434,48.7041702270508,48.6843605041504,48.6665191650391,48.5951805114746,48.5865592956543,48.5815200805664,48.6342582702637,48.7001304626465,48.7330093383789,48.7257118225098,48.702220916748,48.7038116455078,48.6800994873047,48.6740112304688,48.6689682006836,48.6689605712891,48.8658714294434,,
"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,1684263,,,,,1893323,,1929914,1968304,1986141,2008973,2034256,2072393,2120050,2148748,2199096,,2274453,2338418,2397816,2455525,2540623,2626297,2693632,2744993,2799744,2856613,,2887753,2911773,3025977,3033019,3009009,3056266,3159376,3202008,3217329,3221408,3225487,3229566,3233645,3237724,3241803,3245882,3178364,3107870,3101007,,
"Primary education, duration (years)",SE.PRM.DURS,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,,,,,,,,,,,,,,,,,,,,,42.3596801757813,,,,,,,,,,,,,,,,70.3100891113281,,,,84.7692184448242,,,,,82.3581085205078,,,,90.5961608886719,91.2178726196289,,,,,,,,
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,,,,,,,,,,,,,,,,,,,,,52.5540885925293,,,,,,,,,,,,,,,,77.259651184082,,,,89.5113372802734,,,,,88.5812301635742,,,,93.9388809204102,94.3594131469727,,,,,,,,
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,,,,,,,,,,,,,,,,,,,,,32.2757415771484,,,,,,,,,,,,,,,,63.1827507019043,,,,79.9623870849609,,,,,75.8285064697266,,,,87.2056121826172,88.0314865112305,,,,,,,,
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,83.333381652832,,,,,,94.918830871582,92.0055770874023,92.0748672485352,95.656867980957,94.787353515625,93.4622497558594,,93.0163879394531,93.4584579467773,91.1911468505859,89.3025436401367,90.7802124023438,,94.0846786499023,,,,,97.4143524169922,95.0241012573242,100.618301391602,,92.7730102539063,93.4796295166016,98.1393814086914,103.746681213379,100.037071228027,98.2005386352539,99.2902908325195,99.9338073730469,97.5558700561523,100.29972076416,107.26717376709,103.913902282715,103.900512695313,103.376586914063,100.561378479004,,
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,86.8420104980469,,,,,,95.9430236816406,92.4491729736328,92.531120300293,96.1616668701172,95.1228485107422,93.5513229370117,,93.3711471557617,94.0611267089844,91.91259765625,89.5904769897461,91.0189208984375,,94.1369781494141,,,,,97.0582427978516,95.6352920532227,100.518821716309,,92.8943710327148,93.3898620605469,97.9783096313477,104.014343261719,99.6784820556641,97.6480331420898,98.5409622192383,99.2258071899414,97.0131378173828,99.6738891601563,106.271781921387,103.033020019531,103.303680419922,102.929992675781,99.6263809204102,,
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,79.6646194458008,,,,,,93.8402404785156,91.5384521484375,91.5947036743164,95.1259536743164,94.4345092773438,93.3684768676758,,92.6454162597656,92.8295669555664,90.4393310546875,89.0024108886719,90.5306091308594,,94.0297317504883,,,,,97.7882919311523,94.3818969726563,100.722953796387,,92.6454162597656,93.5742416381836,98.3096771240234,103.463073730469,100.41658782959,98.7850799560547,100.083282470703,100.683616638184,98.1311874389648,100.964019775391,108.324012756348,104.848518371582,104.532562255859,103.84774017334,101.54615020752,,
Primary school starting age (years),SE.PRM.AGES,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5544281005859,98.8108291625977,99.11328125,99.9839782714844,99.5935363769531,95.7279281616211,,
"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6497421264648,99.834846496582,98.9028167724609,99.8909530639648,100,92.2927780151367,,
"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5211029052734,98.7809600830078,99.1257400512695,99.9875335693359,99.5783081054688,95.8562698364258,,
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,,,,,,,,,,,,,,,8.74100017547607,,,,,,,,,,,,,37.4790382385254,32.7589797973633,35.3831214904785,34.4279899597168,38.3530693054199,39.0105400085449,39.7398490905762,58.6999092102051,44.4104194641113,38.7508506774902,,56.8867111206055,53.4613609313965,,50.4249610900879,50.6980094909668,52.4808616638184,56.6068305969238,59.2884292602539,54.7224502563477,60.2420692443848,72.4823837280273,74.620361328125,76.4638824462891,,82.9452209472656,87.0399703979492,89.8717422485352,92.3960418701172,91.1551284790039,,
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,7.74953985214233,,,,,,,,,,,,,33.6997604370117,33.1498908996582,36.2116394042969,35.3146514892578,39.3698501586914,39.816291809082,40.4430694580078,61.1941299438477,46.0342597961426,41.3142013549805,,56.1421813964844,55.582218170166,,54.4548301696777,54.7662086486816,59.1016807556152,63.4075889587402,64.8580474853516,60.1797790527344,64.6157302856445,77.4926605224609,80.5385131835938,83.0630111694336,,86.1013031005859,89.6320190429688,91.8753433227539,95.4144973754883,96.3576431274414,,
"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,8.25788021087646,,,,,,22.7316207885742,,30.551399230957,32.6435813903809,33.1241188049316,35.1977996826172,,35.6399192810059,32.9489784240723,35.7854118347168,34.8583984375,38.8464889526367,39.4016609191895,40.0814018249512,59.9120788574219,45.1998596191406,39.9978408813477,,56.5242691040039,54.4935188293457,52.0462417602539,52.3845291137695,52.6758995056152,55.699390411377,59.9135093688965,61.998779296875,57.3777389526367,62.3690185546875,74.9169464111328,77.4929733276367,79.6629791259766,,84.4786682128906,88.3005905151367,90.8464508056641,93.8632507324219,93.6777420043945,,
"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,,,,,,,,,,,,,,,33.8964004516602,,,,,,,,,32.390998840332,30.8149795532227,32.4426918029785,,30.9591598510742,31.7970104217529,21.2908592224121,30.5219497680664,34.1424293518066,33.8343200683594,24.0449199676514,,,24.5594806671143,,25.4740200042725,26.9351596832275,27.3809108734131,,22.5346794128418,21.3789596557617,22.7898807525635,22.6309204101563,22.3721809387207,23.8836803436279,22.5478000640869,18.1105003356934,17.8233795166016,,19.5023498535156,18.9759998321533,17.9005508422852,16.5853404998779,16.463659286499,,
"Preprimary education, duration (years)",SE.PRE.DURS,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,0.617219984531403,0.623390018939972,,0.760049998760223,0.83635002374649,0.781490027904511,0.836939990520477,,,0.719389975070953,0.746760010719299,,,,,,,,,,,,,,,,,,,,,,,,,1.386510014534,1.33972001075745,1.19929003715515,,
"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,,,,,,,,,,,0.692640006542206,0.68273001909256,0.710099995136261,,0.781560003757477,,,,,0.927450001239777,0.953549981117249,0.972259998321533,0.989870011806488,0.993749976158142,1.00778996944427,1.01573002338409,1.00347995758057,1.02508997917175,1.03606998920441,1.04314005374908,1.07193005084991,1.05415999889374,1.0662499666214,1.07251000404358,1.08373999595642,1.09222996234894,,1.072350025177,,,,,,,,,,,,,,,,,1.0835200548172,1.08661997318268,1.0636500120163,,
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.844600021839142,,,,,,,,,,0.978980004787445,0.98759001493454,0.992940008640289,0.992190003395081,0.999830007553101,1.00189995765686,,1.00441002845764,1.00780999660492,1.01031994819641,1.0217399597168,1.01626002788544,1.02338004112244,1.02569997310638,1.03170001506805,1.03304004669189,,,,,,,,,,,,,,,,,,,1.03970003128052,1.03954005241394,1.03336000442505,,
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,0.91592001914978,,,,,0.970960021018982,,,,,0.993780016899109,0.996720016002655,0.994949996471405,0.991439998149872,0.995169997215271,0.993799984455109,,0.991879999637604,0.991450011730194,0.991999983787537,0.995029985904694,0.996699988842011,1.00121998786926,1.00209999084473,1.00490999221802,1.00189995765686,1.00032997131348,,0.99440997838974,0.984399974346161,1.00082004070282,0.999729990959167,0.999960005283356,0.998709976673126,0.999830007553101,1.0003399848938,1.00204002857208,1.00485002994537,1.00680994987488,1.00759994983673,1.00826001167297,1.00855994224548,1.00662994384766,1.00435996055603,1.00135004520416,0.998269975185394,1.00673997402191,,
"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,69.5163269042969,,,,,,,,,,,82.9153671264648,,,,,,,,,88.6877593994141,,,,,,,,,,93.1178894042969,,,,,,,,
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,,,,,,,,,,,,78.1463317871094,,,,,,,,,,,88.56298828125,,,,,,,,,91.96923828125,,,,,,,,,,95.4337463378906,,,,,,,,
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,61.2485008239746,,,,,,,,,,,77.283088684082,,,,,,,,,85.3542175292969,,,,,,,,,,90.7476806640625,,,,,,,,
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,87.9686431884766,,,,,,,,,,,95.5638809204102,,,,,,,,,97.2378005981445,,,,,,,,,,98.4187088012695,,,,,,,,
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,,89.4959106445313,,,,,,,,,,,95.9064407348633,,,,,,,,,97.208137512207,,,,,,,,,,98.3810424804688,,,,,,,,
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,,,,,,,,,,,,,,,,,,,,,0.966880023479462,,,,,,,,,,,0.992860019207001,,,,,,,,,1.00060999393463,,,,,,,,,,1.00077998638153,,,,,,,,
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,86.5314788818359,,,,,,,,,,,95.2221374511719,,,,,,,,,97.2677230834961,,,,,,,,,,98.4582595825195,,,,,,,,
Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,161.079426009166,155.294649036242,156.066853180757,165.949113241403,173.769308301324,180.54720803548,171.566981217557,144.046777051292,136.541902922266,123.871931254236,121.797997115754,116.789759030116,113.440115760555,121.006304437135,121.720846973175,117.893085407216,118.123565762182,122.530215061415,118.433386225892,94.5827135322637,95.4498652738707,96.703512966929,101.461710076647,101.608041101399,96.0259704347668,91.9195629267505,91.843581713759,94.9735755710468,96.986856389207,97.595900162718,94.7343612802267,100,100.353881279935,100.13499305699,100.649682147359,99.9775856767813,92.117117631536,88.1740247942305,86.6980898933151,
Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38342607198589,,,,,,,,,,
Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42297542678725,,,,,,,,,,
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32537295578162,,,,,,,,,,
Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05923732500736,,,,,,,,,,
Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65406914836308,,,,,,,,,,
Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76903359444432,,,,,,,,,,
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68687697267139,,,,,,,,,,
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2761226782811,,,,,,,,,,
Coverage of social safety net programs in richest quintile (% of population),per_sa_allsa.cov_q5_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0281311785933,,,,,,,,,,
Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5821730445479,,,,,,,,,,
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6797049221556,,,,,,,,,,
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,,,,,,,,35.3,,,
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,,,,,,,,42.6,,,
"Time to export, documentary compliance (hours)",IC.EXP.TMDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,
"Time to export, border compliance (hours)",IC.EXP.TMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,45,
Time to export (days),IC.EXP.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,13,11,11,11,,,,
Documents to export (number),IC.EXP.DOCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,,,
"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,
"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,321,321,321,
Cost to export (US$ per container),IC.EXP.COST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,432,432,450,450,450,450,435,450,525,,,,
Time required to get electricity (days),IC.ELC.TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,31,31,31,31,31,
Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,
Power outages in firms in a typical month (number),IC.ELC.OUTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,
Delay in obtaining an electrical connection (days),IC.ELC.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,1.8,,,
Average time to clear exports through customs (days),IC.CUS.DURS.EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,6.3,,,
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,33.7,42.2,44.5,52.9,48.5,62,49.4,56.1,52.9,56.2,57,62.4,63.6,
Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,82,100,83.4,81.8,77.2,78.6,77.1,76.4,82.6,
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,8,8,
New businesses registered (number),IC.BUS.NREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38293,43337,41623,41638,44202,45455,45441,46321,49203,49510,46555,,
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20878303455284,2.43819625125287,2.28562485671258,2.23306091792115,2.31671863498825,2.32975264028809,2.27917195652976,2.27427888822961,2.37069890736235,2.33242912879002,2.26243827134845,,
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,
Distance to frontier score (0=lowest performance to 100=frontier),IC.BUS.DFRN.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.54,77.47,78.43,
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.613,
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657,
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634,
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611,
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645,
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.622,
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4993673555462,43.4750825013576,41.9709791898532,36.3688410205031,48.4336342133167,46.601500029368,36.554901005448,33.6959614160107,36.9919471033027,42.2535650762942,41.0553661678154,41.6700682872586,46.9987723828865,45.58912512187,41.7215329364482,45.5614246276874,44.5534386682664,44.3099407320969,42.4764354492662,38.7692557876985,37.6740769982825,,
Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17308000000,20815000000,19987000000,20328000000,28503000000,30800006000,24759000000,24872000000,33120000000,40623000000,43413851132.82,50234002607.63,70810006314.88,70428564877.75,62483517000,81977987000,90785417000,92987106000,92508239000,83460446000,78926094388.73,,
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6890841087609,16.9903653365035,16.8127127141263,18.5838824867172,16.5121871150754,18.7453892602793,17.6745509013288,17.6261853193527,18.8868661256537,17.6866981371579,17.7191114388044,18.1188211358944,19.5680127959109,21.6713140581102,18.2319253890148,19.7347795900774,20.9798770041143,20.6021204303102,19.6835443850248,18.5946742873727,17.030622084734,,
Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47420000000,47878000000,47621000000,55894000000,58849600000,66092306000,67731000000,73813000000,89533000000,96141000000,105744644817.84,120551764545.56,150663523161.86,154485449522.18,149763234000,179928498000,203767475000,209856083000,217787199000,215274821000,209497088388.73,,
Other expense (% of expense),GC.XPN.OTHR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906790383804302,1.08609382179707,3.77354528464333,3.73743156689448,3.37810282482804,0.30109404867792,2.64576043466064,3.66602089062902,5.67611941965532,0.356767664159932,0.369571928368772,0.993272276962371,0.563620053785497,0.443392450369027,0.771116494452837,0.632329515694618,0.719623188146195,0.587090439498959,0.681602962348581,0.514806141680638,0.435614646016767,,
Other expense (current LCU),GC.XPN.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000000,520000000,1797000000,2089000000,1988000000,199000000,1792000000,2706000000,5082000000,343000000,390802523,1197407256.62,849169830.28,684976820.1,1154849000,1137741000,1466358000,1232045000,1484444000,1108248000,912600000,,
Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.329396878954,13.4195246250888,14.5482035236555,14.2072494364332,15.3866806231478,14.5765832410205,14.2755902024184,14.2874561391625,12.1955033339662,12.0697725216089,11.8165794792966,10.709769014099,8.49364041871117,9.20572587091975,10.4305192821891,9.84609453028391,9.58804784718464,9.89995796309607,10.3716945273721,11.2800948514086,12.6396506050079,,
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.50563852484,9.72600666061157,12.1922460975309,13.4392542660874,14.5366104252621,12.0552479726593,11.5776995473813,11.3877850725639,10.9851304855228,10.9159666237077,10.1139606547229,9.2295703976645,8.00835282662469,8.96468063996134,9.78440541467027,9.55453863951375,9.39691936973335,9.73690984026823,10.2382671627412,11.0837166630913,12.4656695901064,,
Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6795000000,6425000000,6928000000,7941000000,9055000000,9634000000,9669000000,10546000000,10919000000,11604000000,12495400000,12910815525.25,12796817899.53,14221506993.47,15621083000,17715930000,19537323000,20775664000,22588223000,24283204000,26479700000,,
Goods and services expense (% of expense),GC.XPN.GSRV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4664698439477,15.188604369439,12.1690010709561,15.1053780369986,14.6848916560181,18.0595907789932,16.637876304794,18.9234958611627,18.5775077345783,18.7058591027761,19.7863580099426,19.5952156108361,16.7238512603086,17.0709493901131,15.9190232230161,16.0889149422011,15.6858090330658,16.1349037473457,15.7304502547921,16.8959624869459,14.3536095089795,,
Goods and services expense (current LCU),GC.XPN.GSRV.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6860000000,7272000000,5795000000,8443000000,8642000000,11936000000,11269000000,13968000000,16633000000,17984000000,20923014000,23622378185.37,25196743517.13,26372132903.02,23840844000,28948543000,31962577000,33860077000,34258907000,36372753000,30070394000,,
Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3357233234922,27.5596307281006,29.3651960269629,25.8274591190468,27.7945814415051,26.391876839643,29.885872052679,29.4270656930351,26.5589224084974,26.6140356351609,26.9721244145767,27.0316748108439,27.2201158843083,27.6908071667281,31.1578080638937,27.8712369399093,29.453081263337,29.0681071179624,30.739816806221,32.5398798032214,34.8970482417134,,
